0,1,2,3,4,5,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Gorillaz,Demon Days,White Light,2005,TRAQQVR128F4255A3A,7hnW9af7GuGH5lyUUTa8UH,0.595,0.831,11,-7.846,0,0.265,0.00135,0.822,0.34,0.407,154.845,133067
Rise Against,The Unraveling,1000 Good Intentions,2001,TRAQQHJ128F9345DC3,16ccoa8uUzMeUGM8r0pMhl,0.483,0.888,9,-4.925,1,0.124,0.000451,0.151,0.193,0.272,77.8,187667
Clay Crosse,I Surrender All,I Surrender All,1998,TRAQQUC128F9314732,5i7A0nyX2V8l5AY2N0cVrO,0.523,0.486,2,-8.165,1,0.0295,0.00744,0,0.15,0.176,67.378,284627
Lizzy Borden,Deal With The Devil,Zanzibar,2000,TRAQQOG128F934B0A1,3fYlDrdOVIpsz1bfeOUB7c,0.466,0.893,8,-4.281,1,0.0475,0.000167,0.0000215,0.108,0.219,93,386933
Snowgoons,Black Snow,Starlight,2008,TRAQQUX128F92F9F10,0lwpdYNgpYjTr8klGhVlbX,0.411,0.89,3,-2.898,0,0.357,0.0715,0,0.479,0.57,176.159,232813
Rishi Rich,The Project,Jaan - Interlude,2006,TRAQQLM128F147CBFE,4hbTclSH9TgH3pQQhT07V7,0.811,0.442,8,-11.234,0,0.409,0.0666,0.0000165,0.144,0.716,95.907,45400
Eliane Elias,Solos And Duets,All The Things You Are,1995,TRAQQTW128F1466D86,2J9TvjcZP1UA9mAsxefhtQ,0.372,0.0787,5,-26.804,0,0.0455,0.995,0.928,0.121,0.148,139.764,201400
The Strokes,Room On Fire,Between Love & Hate,2003,TRAQRHA128F93001EB,5OmumaYiHYXUsYZPGLFTYJ,0.453,0.61,9,-4.935,1,0.0254,0.0000535,0.545,0.101,0.525,104.188,196348
Britney Spears,My Prerogative,My Prerogative,2004,TRAQRYZ128F4291DCB,2TxLSV0AqZTYQQL9QCX0D4,0.751,0.937,10,-4.436,0,0.108,0.0122,0,0.0639,0.662,111.029,213893
The Sonics,Fire and Ice II - The 'Lost' Tapes,Near My Soul,1996,TRAQRTB128F9332168,3mdW1gEsbHvnARJuJRZ8sU,0.361,0.626,5,-9.377,0,0.062,0.279,0.00000291,0.093,0.61,175.287,166760
Lisa Lisa & Cult Jam,Super Hits,Something 'Bout Love,1997,TRAQRTQ128F42707EA,4TpXw0zQDofq1Y7lcxZeoK,0.75,0.831,1,-9.654,1,0.0534,0.0227,0.0192,0.199,0.556,107.778,303507
2 Minutos,Novedades,Cancion De Amor,1999,TRAQRFD128F9322DE6,4TF2XDFiU39gcaPL3ty5PY,0.343,0.94,7,-3.596,1,0.141,0.00281,0,0.314,0.623,118.769,125013
EPMD / Nocturnal,Back In Business,Dungeon Master,1997,TRAQRJO128F42B7B09,25LOONwQBsVLAWHPGx1kzS,0.642,0.793,11,-6.919,1,0.317,0.00475,0,0.0918,0.24,90.399,204453
Halfway to Gone,Halfway to Gone,Black Night,2004,TRAQSPU128F422146B,55U7BYci5dqPOmwMsmozNT,0.297,0.97,5,-4.971,0,0.188,0.00000601,0.361,0.0655,0.486,141.988,209933
SKYCLAD,Another Fine Mess,The One Piece Puzzle,1994,TRAQTOS128F428E94B,7eYJtpIO5JofF8CPwl2kU7,0.274,0.723,2,-8.826,0,0.0353,0.000873,0.0146,0.363,0.373,160.912,352787
Esa Pakarinen,Esa Pakarinen,Miina ja Mikko markkinoilla,1990,TRAQTCE128F92E341E,0c5IYksN43eNMbB8ZXtD8L,0.705,0.317,7,-12.447,1,0.46,0.636,0,0.0633,0.929,178.465,119266
Cockney Rejects,Oi! The Album,Oi! Oi! Oi!,1997,TRAQTBF12903CCC1B7,7c4hMMfGxu2CZqNJlaz7un,0.227,0.969,2,-4.115,1,0.111,0.0652,0,0.664,0.354,185.747,204213
Loudermilk,The Red Record,Mai,2002,TRAQTRL128F428C2AF,4Ci80TqSYCCHIM7sB0DiMF,0.453,0.616,6,-6.308,1,0.0369,0.000415,0.305,0.212,0.207,112.507,272067
Daft Punk,Homework,Da Funk,1995,TRAQVTO128F14696A6,0MyY4WcN7DIfbSmp5yej5z,0.806,0.7,0,-5.269,0,0.0752,0.00196,0.891,0.267,0.892,111.215,328680
Take It Back!,Can't Fight Robots,These Days,2008,TRAQVFU12903CDCB07,3gIJMp42hOPcQbpQeKWGxd,0.294,0.949,8,-4.468,1,0.112,0.0000581,0.0000275,0.0526,0.209,136.046,205160
Neviss,Backseat Travelling,Spain,2003,TRAQVMY128F424C862,7CyS0glRZ0oKxwgdUnZHC0,0.454,0.708,3,-5.601,1,0.0276,0.00527,0.705,0.112,0.126,93.961,169691
Fever Ray,When I Grow Up,When I Grow Up,2009,TRAQVJM128F9310F20,2Hy2bQlZcLSxNY73CobvZx,0.472,0.631,0,-9.66,1,0.0526,0.362,0.533,0.153,0.548,122.538,271280
Little Eva,Girls of the 60's,The Loco Motion,2000,TRAQVSH128F92EF9A5,1hClDWPgajpLIFjLOkFuau,0.636,0.893,3,-6.311,1,0.047,0.674,0.00143,0.176,0.887,129.664,148627
Philip Bailey,The Colours Of Christmas,Silent Night,1998,TRAQVLJ128F4283F4D,7AonJponKo2UDoWOE9Mf24,0.0982,0.283,7,-13.664,1,0.0343,0.926,0.000859,0.0941,0.147,77.606,210507
Sneaky Sound System,Sneaky Sound System,Lost In The Future,2008,TRAQVQM128F933DFEB,3zVmYLEbixOGH3t0oRRWRG,0.628,0.882,7,-3.633,1,0.0546,0.00505,0.00000519,0.111,0.696,129.967,225600
Shriekback,Cormorant,The Strongest Wind That Blows,2005,TRAQWKC128F428BD2C,0pH2O52rJAqngT9bYZH9Ps,0.714,0.458,10,-11.975,0,0.178,0.138,0.0687,0.16,0.716,170.033,286093
The Tokens,The Lion Sleeps Tonight,Ill Always Love You,1994,TRAQWGP128F932EAFE,4SYrutltyYnrr2a1Q27kYZ,0.161,0.443,0,-9.622,1,0.0327,0.778,0.0156,0.44,0.608,83.44,138971
Kapelle Herrenweide,Kavalierstart,Nie mehr heim,2009,TRAQXAZ12903CF156D,1z4Zbwf2A1M52CQ2NO5sZE,0.242,0.765,4,-4.555,0,0.052,0.00415,0.000485,0.295,0.258,167.111,303400
Steel Pulse,Rage and Fury,House of Love,1997,TRAQXJY12903CF3A0E,6qn1iSWY6FHCAPFW51Lj1j,0.756,0.744,1,-6.835,0,0.186,0.011,0.00000852,0.0497,0.692,168.167,258813
Russ Taff,Rivers Of Joy,We Will Stand,1998,TRAQYXL128F425EA21,2167rwWY1N0bUmSZQ522kL,0.518,0.452,11,-11.926,1,0.0349,0.0892,0,0.252,0.273,127.685,278627
Daddy Yankee,Daddy Yankee Mundial,Descontrol,2010,TRAQYFL12903D138CF,6QjEVK9HXDWHoqFzHWn7Mk,0.729,0.876,6,-3.818,0,0.0679,0.11,0.000715,0.301,0.674,92.993,172907
Loudon Wainwright III,I'm Alright,How Old Are You,1994,TRAQYVG128F92FE7E1,2J3UNN9KV0xji9aPq9tue9,0.545,0.485,9,-14.585,1,0.0388,0.64,0,0.13,0.872,96.784,128667
Mississippi Fred McDowell,Good Morning Little School Girl,You Gotta Move,1999,TRAQYUA128F428742F,2XtrInrRVz6JY3ydZ6yyvO,0.623,0.151,9,-16.275,1,0.0626,0.697,0.000354,0.102,0.309,75.082,200667
Busta Rhymes,Genesis,Genesis,2001,TRAQYOC128F9341CDC,7IMRPsImMIoGw7edEdW9Ru,0.772,0.765,4,-9.58,1,0.32,0.132,0.0000021,0.373,0.726,94.293,236907
Cockney Rejects,Live And Loud,Easy Life (Live),1997,TRAQZBF128F42830A1,2tGQ7XSHzpQEUXi1haPc50,0.24,0.913,7,-8.372,1,0.0915,0.43,0.000714,0.452,0.733,137.244,176013
Kanye West / Lupe Fiasco,Touch The Sky,Touch The Sky,2010,TRAQZQX128F931338F,2dxjKgT0li4qBI3QwuN9Ih,0.524,0.846,9,-4.912,1,0.347,0.0114,0,0.309,0.551,98.385,236600
Bob Dylan,Time Out Of Mind,Trying To Get To Heaven,1997,TRARAEG128F42647B2,0dgdP5q0irOwAn7hEvEep1,0.481,0.479,3,-13.366,1,0.0325,0.476,0.00105,0.271,0.552,95.274,320707
Agnostic Front,Warriors,Come Alive,2007,TRARACF128F424FACF,6PgNuWIZ1Aechvuv5073Xb,0.203,0.963,7,-5.274,1,0.0653,0.0000107,0.0014,0.294,0.433,84.408,122187
Snow Patrol,Snow Patrol: Sessions@AOL,Spitting Games,2003,TRARAIO128E0780FDE,7FnPuMFgc7YDuwQkGpttr2,0.498,0.885,7,-3.922,1,0.0291,0.00055,0.034,0.574,0.563,145.217,226027
Rise Against,The Sufferer & The Witness,Drones,2006,TRARANL128F1478789,7wOYlhUoHMpg2r96VWiIYR,0.509,0.996,8,-3.741,1,0.0598,0.0000819,0.00000996,0.0545,0.365,104.671,181600
Open Hand,The Dream,Never Alone,1999,TRARBGM12903CC5026,1F1sAWPAiDZWOQ7j4LNbhN,0.243,0.8,9,-7.798,0,0.148,0.0596,0.117,0.377,0.177,86.235,487053
The Wreckers,Way Back Home: Live From New York City,Damn That Radio [Live],2007,TRARBVD128F4239284,3znlWyerD2o4CVJNLdWzay,0.501,0.877,4,-5.15,1,0.105,0.17,0,0.801,0.721,151.915,211487
Various Production,Maskmen,Wot U Say,2008,TRARBDK128F92C7F0B,2zVZJFekNqtMgoNGPwr8Fs,0.502,0.786,7,-8.934,0,0.0365,0.0199,0.00123,0.0683,0.86,145.131,192000
Stephen Warbeck,Dreamkeeper,Birth Of The Falls,2003,TRARBLB128F14AD018,2p5p4tIKtIBNr0JXClcz5a,0.102,0.231,9,-14.763,0,0.0353,0.824,0.925,0.36,0.0634,66.982,123627
Sex Pistols,Submission,Chatterbox,2004,TRARBFC128EF3500F8,2Ry4rZVor2AnhOQdTGsiU4,0.25,0.775,4,-5.715,0,0.0381,0.00000177,0.899,0.366,0.38,146.752,111080
Inspiral Carpets,Greatest Hits,Keep The Circle Around,1999,TRARBJW128E0788A1A,0uspGmyD3xW9gpVurfKHQJ,0.26,0.976,10,-3.998,0,0.0808,0.0489,0.653,0.208,0.494,149.791,230000
Charlie McCoy,Harpin´ The Blues,Columbus Stockade Blues,1991,TRARBXA128F426E188,2S4LYwevWHNTusqkKjQYG4,0.691,0.332,3,-13.373,1,0.0381,0.0423,0.766,0.0968,0.815,113.166,197800
Kenny Rogers,Country Superstar,Reuben James,1993,TRARCNN12903CD5262,6VzGAkimNeVGJEPlzaBKco,0.502,0.735,4,-12.342,1,0.155,0.0939,0,0.266,0.891,203.162,159133
MxPx,Panic,Grey Skies Turn Blue,2004,TRARCSJ12903CA71D8,6BZHMAR1IOuFoV4TuLBDMV,0.39,0.767,11,-3.27,1,0.0434,0.0000436,0.00515,0.0506,0.712,175.434,184040
Zombina & The Skeletones,Death Valley High,The Waiting,2006,TRARCNT12903CC4767,21ZF5bGW7X1b6z4H0J9YFS,0.245,0.836,10,-5.264,1,0.0625,0.0000066,0.576,0.526,0.219,93.03,145520
Winifred Phillips,Spore Hero,Sporable,2009,TRARCJT128F9316BA9,69ihHLRWXWMLcq77AIyuLG,0.429,0.3,0,-13.723,1,0.042,0.847,0.336,0.182,0.144,130.139,142867
Thrice,Live At The House Of Blues,The Earth Isn't Humming,2008,TRARDOK128F9300AB5,3K1QP5MyaAoKoPwwqo2EhZ,0.697,0.713,9,-8.101,1,0.0285,0.231,0.000286,0.11,0.922,142.029,298627
Dart,Don't Let The Bastards Get You Down,For The Good Times,2002,TRARELT128F9310B6E,56RfgBbd1fq3CY9ECU7y7K,0.62,0.503,0,-9.75,1,0.0631,0.00557,0.00383,0.511,0.689,147.959,340533
Out Of The Grey,Gravity,Dreaming Of April,1995,TRAREGG128F425A5D8,1yP4yc4UD7pLYquVylSvg8,0.32,0.482,7,-8.982,1,0.0354,0.509,0.00000137,0.0759,0.289,175.139,225907
Milieu,Remodelled,Blackwood Moth,2007,TRAREOY128F93199EF,3KApsUPwxK3crRvgQWOpqE,0.708,0.286,10,-13.724,1,0.143,0.0112,0.87,0.138,0.736,174.06,371867
Pelle Carlberg,In A Nutshell,Clever Girls Like Clever Boys Much More Than Clever Boys Like Clever Girls,2007,TRAREDZ12903CFB6E3,4NmYkFVvS1RZmX3I2UTT2k,0.584,0.793,9,-5.758,1,0.0339,0.0786,0.0000186,0.131,0.913,84.93,248333
Snow Patrol,Snow Patrol Late Night Tales,New Sensation,2009,TRAREHS128F92F8E13,0bBdzdOql8t4jmjghR3tNx,0.68,0.373,4,-14.407,1,0.0314,0.528,0.000193,0.0911,0.311,115.029,214932
Salt The Wound,Ares,From My Hands,2009,TRARFKP12903CF5DF1,50KZRMRmGz3ECHNIJYaWOY,0.262,0.937,2,-5.33,1,0.244,0.0000222,0.199,0.0741,0.228,89.718,241560
Korpiklaani,Karkelo,Isku Pitkästä Ilosta,2009,TRARFAZ128F93481AD,1QH9zwzgcpSghTNrIIAKD2,0.423,0.967,7,-4.784,1,0.0361,0.00000413,0.277,0.119,0.675,99.996,250840
Albert Collins,Collins Mix,Same Old Thing,1993,TRARFXI128F1468CE3,4G5MIzuLUnQWwrVynlNTPm,0.712,0.591,0,-11.609,1,0.0394,0.12,0.00135,0.0454,0.737,94.485,356200
Eminem,Curtain Call,The Way I Am,2000,TRARFOC128F92ED401,23wfXwnsPZYe5A1xXRHb3J,0.785,0.871,4,-2.692,0,0.265,0.144,0,0.309,0.315,87.248,290427
Los Amigos Invisibles,The New Sound of the Venezuelan Gozadera,Nerio Compra Una Contestadora,1998,TRARFAV128F428B7B2,33duFKeOvIFrMnhDjPCBBg,0.599,0.257,11,-20.466,0,0.305,0.971,0.0432,0.111,0.746,88.278,24333
Maximilian Hecker,Lady Sleep,Birch,2005,TRARFWJ128F9339D70,1O3CekhCV1MXXX9duDVLJG,0.241,0.179,5,-10.38,0,0.0336,0.954,0.0314,0.113,0.0393,77.203,259146
Daddy Yankee,El Cartel: The Big Boss,A Lo Clasico,2007,TRARGBM128F428F65E,1HgAViv2g9JqZy1wyA15AE,0.853,0.84,4,-3.63,0,0.116,0.0476,0,0.142,0.816,91.024,235093
Hot Tuna,LIVE AT SWEETWATER II,Parchman Farm,2004,TRARGZR128F92E28D6,2CZ9k4QhK8Ly4N8MMW5q4X,0.403,0.416,1,-10.964,0,0.0313,0.113,0.701,0.34,0.585,138.469,479744
Abijah,Abijah,Children Of Love,2003,TRARHBD128F423A0EA,5sU52BRggopClvjiEC9xN0,0.469,0.15,2,-17.682,1,0.0546,0.097,0,0.344,0.318,163.645,204787
Sister Rosetta Tharpe & Marie,Backline Volume 47,Up Above My Head,2004,TRARIPU128F92FA1E1,3Jm66KC4DSKWv4D0Fx6yBt,0.598,0.467,7,-10.797,1,0.0647,0.886,0.0000031,0.128,0.966,166.063,147800
David Arkenstone,Chillout Lounge,Big Bounce,2009,TRARJEM128F92E444D,6U2v3KaSb9pgd8VF1sn4yM,0.754,0.422,6,-13.382,0,0.032,0.044,0.689,0.0431,0.721,108.008,274040
The Almost,Monster Monster,Summer Summer,2009,TRARJPL128F931C7D2,33bluPLJZ2DMKvullgh39n,0.435,0.83,4,-5.305,0,0.0407,0.00022,0,0.153,0.211,136.175,240853
Tshala Muana,Mutuashi,Banda Yango,2001,TRARKDV128F42500F2,0hjEgQ82pdI5N9tMkWsVjr,0.656,0.934,7,-5.224,1,0.0431,0.406,0.319,0.0614,0.968,127.951,390627
Redman,Doc's Da Name 2000,I Got A Seecret,1998,TRARKXM128F14911B0,2Aki4raVquhiimF96icZVO,0.637,0.838,11,-8.441,0,0.365,0.00633,0,0.126,0.235,113.157,209600
Ann Lee,So Deep,So deep,2000,TRARMYZ128F426150A,3lXUU4pL6tY4It4Pf5CQG4,0.612,0.925,11,-5.71,0,0.0292,0.000754,0.000101,0.116,0.602,131.986,259187
Life Long Tragedy,Runaways,Collecting Dust,2008,TRARMRJ128F92EBD5C,3ylKVFV0KAnMf2yXFTj4JD,0.218,0.759,7,-6.175,1,0.0558,0.000146,0.00736,0.252,0.214,121.309,204973
Tim Exile,Tim Exile's Nuisance Gabbaret Lounge,Oh Scat Mix Up,2006,TRARMRC128F424317A,3Coiao8arLbGFc4vGLHBUs,0.649,0.878,1,-3.936,1,0.271,0.00415,0.0068,0.849,0.837,141.13,78213
Casa Bulga,Afraid Of Change,Afraid Of Change (Tribal Vocal Mix),2003,TRARNIL12903C9A9C8,2OqbrFKuS7LNxRFjqrmiHr,0.751,0.922,0,-7.695,1,0.0441,0.000102,0.704,0.0399,0.399,125.006,406147
Dave Hollister,Witness Protection,Calm Da Seas,2008,TRARNCP128F42AB2B0,5rzpKPELr6IKTKVcKqLhPt,0.589,0.554,11,-5.228,1,0.0275,0.322,0,0.196,0.165,118.03,258173
Tanto Metro & Devonte,Riddim Driven: Celebration,Strange Things,2004,TRARNBZ128F4238CF7,28aXnu3zi4Jq84ax2Wz1ff,0.708,0.86,6,-3.951,0,0.255,0.385,0,0.125,0.746,184.833,175200
Sonora Carruseles,Greatest Salsa Classic Volumen 3,Vitamina,1999,TRARODD128F4225D3F,6ZBtX6jV48Hwytg3gELsKr,0.675,0.785,5,-8.232,1,0.055,0.391,0.111,0.106,0.745,108.31,230373
The Starting Line,Say It Like You Mean It,A Goodnight's Sleep,2002,TRARODV128F1460DBC,37YHZAS4z74AXm4RT76YxR,0.487,0.742,4,-4.788,1,0.0355,0.000203,0,0.118,0.174,142.016,262667
Shakira,Donde Estan Los Ladrones,Que Vuelvas,1998,TRAROQC128F4273979,3DjXu9jBpV5lPbhHQVyPQd,0.688,0.917,2,-7.449,1,0.0314,0.0185,0.00241,0.0712,0.788,123.873,230800
TEN MADISON,Grounded,Cup Horn,2006,TRAROPZ128F42A8AB2,21gmZjyrJHBDfxtG6JVqpi,0.721,0.855,10,-9.002,0,0.0538,0.105,0.854,0.111,0.664,95.006,344640
Grizzly Bear,Yellow House,Little Brother,2006,TRARPCK128F92FEA7F,3BJXT7qqVw8YR2VGFKXeiO,0.269,0.314,4,-13.629,0,0.0291,0.9,0.502,0.582,0.183,84.72,384680
Julie Roberts,Julie Roberts,The Chance,2004,TRARPWX128F92CD69C,6u7ejpO5FVF02kRhZEnle2,0.521,0.288,1,-11.907,1,0.045,0.591,0,0.104,0.116,139.95,287520
Pearl Jam,Seattle Washington November 5 2000,Wishlist,1998,TRARQSD128F427E2AA,7hObovvcbBpXgZHQ9if4WU,0.623,0.342,0,-8.694,1,0.038,0.0134,0.00412,0.106,0.101,115.032,206587
Brigada Victor Jara,Novas Vos Trago,Parto em terras distantes,1998,TRARRVB128F92F47CA,69a3ue3HX6WHfsF8A8JW74,0.397,0.359,4,-13.607,0,0.0315,0.0697,0.000742,0.0566,0.412,173.824,315680
I Hate Sally,Don't Worry Lady,Martha Served,2007,TRARRWA128F42A0195,3T7XFffEVFl76njTFOKSsL,0.192,0.987,1,-5.382,1,0.111,0.0000106,0.681,0.818,0.202,103.886,138760
Raphaël,Je Sais Que La Terre Est Plate (Deluxe),Je Sais Que La Terre Est Plate,2008,TRARRZU128F4253CA2,6ARqlTFjrCRCZsWq8Nx43D,0.656,0.487,0,-9.344,1,0.036,0.0778,0.0563,0.1,0.0385,123.974,150040
Britney Spears,3,3,2009,TRARSKA128F9336A04,6pymOcrCnMuCWdgGVTvUgP,0.697,0.709,5,-1.917,0,0.0455,0.0452,0,0.138,0.787,134.91,213173
Junior Kimbrough,Meet Me in the City,Meet Me in the City,1997,TRARSZV12903CDB2DE,2BUJHjBlrEQWwuXKtR7Z7U,0.603,0.415,10,-10.962,1,0.035,0.899,0.54,0.233,0.636,129.759,191960
Månegarm,Vargstenen,Vargbrodern Talar,2007,TRARSAM128F4256E04,6JkXseK0IuECpn9Fp9ZKMJ,0.505,0.735,4,-6.368,0,0.0424,0.414,0.0114,0.112,0.375,163.001,92773
Tim Wilson,Gettin' My Mind Right,Uncle B.S. - 1963,1999,TRARTAR128F145F235,5eEHmPnSVslEiWNAl9wrxC,0.558,0.815,2,-10.491,1,0.911,0.823,0,0.882,0.609,80.167,100627
Otis Spann,The Biggest Thing Since Colossus,No More Doggin',1995,TRARTCZ128F427A176,3snXMKwL1Z46QOC2LgsZos,0.521,0.54,0,-12.225,1,0.0386,0.262,0.000493,0.307,0.898,124.524,177373
Radiohead,In Rainbows,15 Step,2007,TRARTEH128F423DBC1,6dsq7Nt5mIFzvm5kIYNORy,0.6,0.853,1,-7.584,1,0.0423,0.0489,0.346,0.0934,0.847,94.457,237293
Bongzilla,Amerijuanican,Champagne & Reefer,2005,TRARTSA128F4291550,6KlBm9gH1FHWb5EEodViFj,0.28,0.819,4,-4.095,1,0.0391,0.00154,0.828,0.112,0.734,97.085,286587
The Chap,Lo Compilation Mix By Susumu Yokota,Volumatic Spacer Device,2003,TRARTYI128F427E74C,66SECha3ZzqL87bZ1hCWgb,0.904,0.368,9,-10.659,1,0.138,0.723,0.314,0.087,0.49,123.01,231653
Shadows Fall,The War Within,What Drives The Weak,2004,TRARUOP12903CF2384,5QNj3V5X2Hv8qSnejQ06eO,0.499,0.923,8,-4.043,1,0.0595,0.0000357,0.000218,0.118,0.777,85.011,283773
Dave Brockie Experience,Diarrhea Of A Madman,The Dance Of Europe,2001,TRARUDQ128F934B0ED,4MBbVTEv2jdJwfgaR1UBxT,0.627,0.917,1,-2.719,0,0.0699,0.00697,0.00127,0.0652,0.706,149.963,136733
Aceyalone,Lightning Strikes,Suicide,2007,TRARVDX128F424A397,2Nw3XXURIjtX6QzQXEZHfH,0.669,0.897,11,-4.053,1,0.268,0.0749,0,0.083,0.885,97.314,170147
Tech N9ne,Alpha Dog,Caribou Lou,2006,TRARVZG128F1497359,0I0wn4G67txQwENcmRH3d6,0.784,0.815,1,-2.703,1,0.298,0.127,0,0.0758,0.559,178.119,271813
Flora Purim,Encounter,Above The Rainbow,1994,TRARVSP128F4250FD6,2IZPvD5m6NYIc9OBlM0rMS,0.208,0.376,1,-15.034,1,0.037,0.656,0.00301,0.392,0.0874,121.113,208067
Thrice,Live At The House Of Blues,Red Sky,2005,TRARVEY128F9300AC3,1GNXjoTtM3fY7nUaLdmN0y,0.535,0.744,2,-4.778,1,0.0465,0.00544,0.0278,0.106,0.136,141.454,257760
Juelz Santana / Freekey Zeekey / Monique Garnett,From Me To U,Dipset (Santana's Town) (Skit),2003,TRARWQY128F1462A4C,6ygDKf1Pba4FHrzLpmgX3N,0.692,0.215,7,-18.554,1,0.854,0.528,0,0.311,0.595,90.868,76600
Mance Lipscomb,The Best of Mance Lipscomb,So Different Blues,1993,TRARWXF128F9353B37,6RU8PgJGo15dWTf5YHn7ZZ,0.513,0.367,1,-9.671,1,0.036,0.915,0,0.21,0.532,77.917,184893
SNAP!,Attack - The Remixes Part 2,Do You See The Light (Deep Ethno Mix),1996,TRARWMX128F9332CD0,2eaI8eGyGyDZdMeYFPg5tA,0.701,0.571,11,-13.043,1,0.0341,0.0434,0.757,0.091,0.23,131.99,297911
Kristine W.,Save My Soul,Save My Soul (Cypher UK Radio Edit),2004,TRARWHW12903CE84D3,5oAbrUmyotLxYo4oBQnXaH,0.745,0.942,6,-4.646,0,0.0634,0.0125,0.000566,0.272,0.712,129.972,235120
Steel Pulse,Rage and Fury,Role Model,1997,TRARXVP12903CF39FE,5f9o2y0eNOut3Sv8X2D7E2,0.816,0.601,1,-6.396,0,0.272,0.0184,0,0.0117,0.756,77.993,262973
ARRESTED DEVELOPMENT,Since the Last Time,Since The Last Time,2006,TRARXIQ128F9354D9C,216MVnfuGsNJM7F27R7z8I,0.7,0.669,1,-6.312,1,0.242,0.0395,0.00000402,0.127,0.597,177.916,218147
Hatiras,Hatiras - Electronic Luv,The Anthem,2002,TRARYXL128F92F939E,0GOKlmFlbKE2C22hVY4thd,0.581,0.827,11,-6.274,0,0.313,0.000499,0.385,0.329,0.413,132.011,298187
Jope Ruonansuu,Kunnioittaen-Yhden miehen tribuutti,Rant Kanaria,2009,TRARYDZ128F9355209,77G5gQJsjdCyZxcWU2w1Xw,0.73,0.379,9,-9.169,0,0.0381,0.596,0.0000678,0.0594,0.415,110.922,211640
William Orbit,Pieces In A Modern Style,Cavalleria Rusticana,2000,TRARZBX12903CD70DA,3reEhPUrz0w81lgtbBoO0L,0.459,0.156,5,-18.99,1,0.0708,0.958,0.912,0.176,0.382,117.725,199867
HA-ASH,Mundos Opuestos,Amor a Medias,2005,TRARZBR128F934715D,1zzwIjjJSTaKWB4PuuWMeC,0.593,0.76,9,-5.007,1,0.0293,0.161,0,0.349,0.562,137.012,254827
Mariano Yanani,Babies Go Sting,When We Dance,2005,TRASAIC128F4269413,2CuDb5LipH6Lb2cbJh048U,0.467,0.222,11,-14.058,1,0.0328,0.884,0.923,0.0814,0.078,169.955,239187
Thrice,The Illusion of Safety,Betrayal Is A Symptom,2002,TRASAIH128F931F567,01CyvKWmmukcU043m0epvF,0.377,0.965,8,-5.54,1,0.0879,0.000252,0.00000826,0.0797,0.404,110.163,169733
Maurane,Differente,Manies Manigances,1995,TRASAEN128F4266178,2Fl04i6Gx9j8IVH1uKGaXI,0.768,0.833,2,-8.109,1,0.0439,0.261,0,0.244,0.883,131.019,172133
Esa Pakarinen,Esa Pakarinen,Vanhapoika-Severi,1990,TRASAUN128F92E3427,5DOv2dI1pwm7N74Y7l1nuM,0.727,0.591,0,-10.187,1,0.15,0.772,0.00000129,0.0977,0.962,155.51,152573
The Vaughan Brothers,Family Style,Hillbillies From Outerspace,1990,TRASAGX128F4262E28,36Vu50SqfPituVQp9uH4aM,0.753,0.306,8,-13.827,1,0.0634,0.275,0.788,0.605,0.782,141.939,201173
Black Tambourine,Black Tambourine,Dream Baby Dream,2010,TRASARM12903D03718,68BY7HWkshsCSq5GkAlZVD,0.393,0.803,5,-10.078,0,0.044,0.0116,0.725,0.106,0.169,131.455,236720
Amorphis,Am Universum,Crimson Wave,2001,TRASBZK128F42692CA,4ivemDqQO0lI1Lur8CZEHS,0.521,0.859,9,-5.805,0,0.0306,0.0000329,0.021,0.37,0.615,108.019,285320
Alicia Keys,Essential-Soul Love,If I Ain't Got You,2003,TRASBVS12903CF4537,3XVBdLihbNbxUwZosxcGuJ,0.609,0.445,7,-9.129,1,0.106,0.603,0.00000677,0.104,0.166,118.393,228707
Michèle Arnaud,Disque Pathé,Ballade Des Oiseaux De Croix,1996,TRASCAH128F147371F,3i57dpB9TsZ04VDu9SN7sR,0.465,0.287,0,-12.401,0,0.0335,0.76,0.000125,0.273,0.192,93.062,122707
Michèle Bernard,Mes premiers vinyls,Le mouton dans la baignoire,2002,TRASCTT12903CEE207,1L9dNg8fX4C5dVNX98f0rp,0.628,0.353,10,-9.948,0,0.258,0.637,0,0.274,0.593,84.811,253733
Irma Thomas,The Story Of My Life,Hold Me While I Cry,2001,TRASCTM128F92F6F3A,0mDO3keFGYsdFBjQbENWXu,0.613,0.231,10,-13.857,1,0.0307,0.588,0.00000149,0.177,0.0751,75.14,207973
Billy Bragg,Billy Bragg Vol.1,Loving You Too Long,2006,TRASDRJ128F428B1A7,6TrDGfRSe3nP7FSSX1Sqpr,0.558,0.488,7,-7.098,1,0.046,0.538,0.001,0.115,0.547,82.588,171507
Anti-Flag,The People or The Gun,On Independence Day,2009,TRASDGG128F933EDE2,5DtesfBH2NQ3PyHTrLTPhM,0.301,0.962,10,-5.961,0,0.173,0.00242,0.0000514,0.135,0.413,155.274,171587
DJ Harry,Collision,Tragedy in Blue,2004,TRASDUS12903CA0686,63PWaj8Kfjp45b2WJTxUDa,0.792,0.638,1,-5.706,1,0.0339,0.0993,0.913,0.0899,0.694,122.85,300560
